cis_safeguard_id, control                                                                                     , name                                                                                                                                                                                                                , level, category
CIS1.2          , ensure-account-lockout-duration-is-set-to-15-or-more-minute-s                               , CIS - Ensure 'Account lockout duration' is set to '15 or more minute(s)'                                                                                                                                            ,     1, configuration
CIS1.2          , ensure-account-lockout-threshold-is-set-to-5-or-fewer-invalid-logon-attempt-s-bu            , "CIS - Ensure 'Account lockout threshold' is set to '5 or fewer invalid logon attempt(s), but not 0'"                                                                                                               ,     1, configuration
CIS1.2          , ensure-reset-account-lockout-counter-after-is-set-to-15-or-more-minute-s                    , CIS - Ensure 'Reset account lockout counter after' is set to '15 or more minute(s)'                                                                                                                                 ,     1, configuration
CIS2.2          , ensure-adjust-memory-quotas-for-a-process-is-set-to-administrators-local-service            , "CIS - Ensure 'Adjust memory quotas for a process' is set to 'Administrators, LOCAL SERVICE, NETWORK SERVICE'"                                                                                                      ,     1, configuration
CIS2.2          , ensure-allow-log-on-through-remote-desktop-services-is-set-to-administrators-rem            , "CIS - Ensure 'Allow log on through Remote Desktop Services' is set to 'Administrators, Remote Desktop Users'"                                                                                                      ,     1, configuration
CIS2.2          , ensure-change-the-time-zone-is-set-to-administrators-local-service-users                    , "CIS - Ensure 'Change the time zone' is set to 'Administrators, LOCAL SERVICE, Users'"                                                                                                                              ,     1, configuration
CIS2.2          , ensure-deny-log-on-as-a-batch-job-includes-guests                                           , CIS - Ensure 'Deny log on as a batch job' includes 'Guests'                                                                                                                                                         ,     1, configuration
CIS2.2          , ensure-deny-log-on-as-a-service-includes-guests                                             , CIS - Ensure 'Deny log on as a service' includes 'Guests'                                                                                                                                                           ,     1, configuration
CIS2.2          , ensure-log-on-as-a-batch-job-is-set-to-administrators                                       , CIS - Ensure 'Log on as a batch job' is set to 'Administrators'                                                                                                                                                     ,     1, configuration
CIS2.2          , ensure-log-on-as-a-service-is-configured                                                    , CIS - Ensure 'Log on as a service' is configured                                                                                                                                                                    ,     1, configuration
CIS2.2          , ensure-perform-volume-maintenance-tasks-is-set-to-administrators                            , CIS - Ensure 'Perform volume maintenance tasks' is set to 'Administrators'                                                                                                                                          ,     1, configuration
CIS2.2          , ensure-profile-system-performance-is-set-to-administrators-nt-service-wdiservice            , "CIS - Ensure 'Profile system performance' is set to 'Administrators, NT SERVICE\WdiServiceHost'"                                                                                                                   ,     1, configuration
CIS2.2          , ensure-replace-a-process-level-token-is-set-to-local-service-network-service                , "CIS - Ensure 'Replace a process level token' is set to 'LOCAL SERVICE, NETWORK SERVICE'"                                                                                                                           ,     1, configuration
CIS2.2          , ensure-shut-down-the-system-is-set-to-administrators-users                                  , "CIS - Ensure 'Shut down the system' is set to 'Administrators, Users'"                                                                                                                                             ,     1, configuration
